iter	Passed	Remaining
277	631	1640
278	633	1637
279	635	1633
280	637	1630
281	639	1627
282	641	1624
283	642	1620
284	645	1619
285	647	1616
286	649	1613
287	651	1611
288	653	1607
289	655	1604
290	657	1600
291	659	1598
292	660	1594
293	662	1591
294	664	1589
295	666	1586
296	668	1582
297	670	1579
298	672	1575
299	673	1572
300	675	1569
301	677	1565
302	679	1562
303	681	1560
304	683	1557
305	685	1554
306	687	1551
307	689	1548
308	691	1545
309	692	1542
310	694	1539
311	696	1535
312	697	1531
313	699	1528
314	701	1524
315	703	1521
316	704	1518
317	706	1515
318	708	1513
319	710	1510
320	712	1507
321	714	1504
322	716	1502
323	718	1499
324	720	1496
325	722	1493
326	724	1490
327	725	1487
328	727	1482
329	728	1479
330	730	1476
331	732	1473
332	733	1469
333	735	1466
334	737	1463
335	738	1460
336	740	1457
337	742	1453
338	743	1450
339	745	1446
340	747	1444
341	749	1441
342	751	1439
343	752	1435
344	754	1432
345	756	1430
346	758	1426
347	759	1423
348	761	1420
349	763	1417
350	764	1414
351	766	1410
352	768	1408
353	769	1404
354	771	1402
355	773	1399
356	775	1396
357	777	1393
358	778	1390
359	780	1387
360	782	1385
361	784	1382
362	786	1380
363	788	1377
364	790	1375
365	792	1373
366	794	1370
367	796	1367
368	798	1364
369	799	1361
370	801	1358
371	802	1354
372	804	1351
373	805	1348
374	807	1345
375	808	1342
376	810	1339
377	812	1336
378	813	1333
379	815	1330
380	817	1327
381	818	1324
382	820	1321
383	822	1319
384	824	1316
385	826	1313
386	828	1311
387	829	1308
388	830	1305
389	832	1301
390	833	1298
391	835	1295
392	836	1292
393	838	1289
394	840	1286
395	842	1284
396	843	1281
397	844	1278
398	846	1275
399	848	1273
400	850	1270
401	852	1268
402	854	1266
403	856	1263
404	858	1261
405	860	1259
406	862	1256
407	863	1253
408	866	1251
409	868	1249
410	870	1247
411	871	1244
412	873	1241
413	875	1238
414	877	1236
415	878	1233
416	880	1230
417	882	1228
418	884	1226
419	885	1223
420	887	1220
421	889	1218
422	891	1216
423	893	1213
424	895	1211
425	897	1208
426	898	1205
427	900	1203
428	903	1202
429	904	1199
430	906	1197
431	908	1194
432	910	1192
433	912	1190
434	914	1187
435	916	1184
436	917	1182
437	919	1180
438	921	1177
439	924	1176
440	926	1174
441	928	1172
442	930	1169
443	931	1167
444	933	1164
445	935	1162
446	937	1160
447	940	1158
448	941	1155
449	943	1153
450	945	1150
451	946	1148
452	948	1145
453	951	1143
454	953	1142
455	955	1139
456	957	1137
457	959	1135
458	961	1132
459	963	1130
460	964	1127
461	966	1125
462	968	1123
463	970	1120
464	972	1118
465	973	1115
466	975	1113
467	977	1110
468	979	1108
469	980	1105
470	982	1104
471	985	1102
472	987	1100
473	989	1097
474	990	1094
475	992	1092
476	993	1089
477	995	1087
478	997	1085
479	999	1083
480	1002	1081
481	1003	1078
482	1005	1076
483	1007	1074
484	1009	1072
485	1012	1070
486	1014	1068
487	1015	1065
488	1017	1063
489	1019	1061
490	1022	1059
491	1024	1057
492	1026	1055
493	1028	1053
494	1030	1050
495	1031	1048
496	1033	1046
497	1035	1044
498	1038	1042
499	1039	1039
500	1042	1038
501	1044	1035
502	1046	1033
503	1047	1031
504	1049	1028
505	1051	1026
506	1053	1023
507	1054	1021
508	1056	1018
509	1058	1016
510	1059	1014
511	1061	1011
512	1063	1009
513	1064	1006
514	1066	1004
515	1067	1001
516	1069	999
517	1071	996
518	1072	994
519	1073	991
520	1075	988
521	1077	986
522	1078	983
523	1079	981
524	1081	978
525	1082	975
526	1083	972
527	1085	970
528	1086	967
529	1087	964
530	1088	961
531	1090	958
532	1091	956
533	1092	953
534	1094	951
535	1095	948
536	1097	945
537	1098	943
538	1099	940
539	1100	937
540	1102	935
541	1103	932
542	1105	930
543	1107	928
544	1108	925
545	1110	923
546	1111	920
547	1113	918
548	1114	915
549	1115	912
550	1117	910
551	1118	908
552	1120	905
553	1122	903
554	1124	901
555	1125	898
556	1126	896
557	1128	893
558	1130	891
559	1131	889
560	1133	887
561	1134	884
562	1136	882
563	1138	879
564	1139	877
565	1141	874
566	1142	872
567	1143	869
568	1144	867
569	1146	864
570	1147	862
571	1149	860
572	1150	857
573	1152	855
574	1153	852
575	1155	850
576	1156	847
577	1157	845
578	1158	842
579	1160	840
580	1161	837
581	1163	835
582	1165	833
583	1166	831
584	1168	829
585	1170	826
586	1171	824
587	1173	822
588	1176	820
589	1178	818
590	1179	816
591	1181	814
592	1183	812
593	1185	810
594	1187	808
595	1188	805
596	1190	803
597	1192	801
598	1193	799
599	1195	796
600	1196	794
601	1198	792
602	1199	789
603	1200	787
604	1202	784
605	1203	782
606	1205	780
607	1207	778
608	1208	776
609	1210	773
610	1212	771
611	1214	769
612	1216	767
613	1218	765
614	1219	763
615	1221	761
616	1223	759
617	1225	757
618	1226	754
619	1228	752
620	1229	750
621	1230	748
622	1232	746
623	1234	743
624	1236	741
625	1238	739
626	1239	737
627	1241	735
628	1242	732
629	1244	730
630	1245	728
631	1246	725
632	1248	723
633	1249	721
634	1251	719
635	1252	716
636	1254	714
637	1255	712
638	1256	709
639	1257	707
640	1259	705
641	1260	703
642	1262	700
643	1264	698
644	1265	696
645	1267	694
646	1269	692
647	1271	690
648	1273	688
649	1274	686
650	1276	684
651	1277	682
652	1279	680
653	1281	678
654	1283	675
655	1284	673
656	1286	671
657	1287	669
658	1288	666
659	1290	664
660	1292	662
661	1293	660
662	1294	658
663	1296	656
664	1297	653
665	1299	651
666	1300	649
667	1302	647
668	1304	645
669	1305	643
670	1307	641
671	1309	638
672	1311	637
673	1313	635
674	1314	633
675	1317	631
676	1318	629
677	1320	627
678	1322	625
679	1324	623
680	1326	621
681	1328	619
682	1330	617
683	1332	615
684	1333	613
685	1335	611
686	1337	609
687	1339	607
688	1341	605
689	1343	603
690	1345	601
691	1347	599
692	1348	597
693	1350	595
694	1352	593
695	1353	591
696	1356	589
697	1357	587
698	1359	585
699	1362	583
700	1364	582
701	1366	580
702	1368	578
703	1370	576
704	1372	574
705	1374	572
706	1376	570
707	1377	568
708	1379	566
709	1381	564
710	1382	562
711	1385	560
712	1387	558
713	1388	556
714	1390	554
715	1392	552
716	1393	550
717	1395	548
718	1397	546
719	1398	543
720	1400	541
721	1402	539
722	1403	537
723	1405	535
724	1407	533
725	1408	531
726	1410	529
727	1412	527
728	1414	525
729	1417	524
730	1419	522
731	1421	520
732	1422	518
733	1424	516
734	1426	514
735	1430	512
736	1432	511
737	1433	509
738	1435	507
739	1437	505
740	1439	503
741	1441	501
742	1442	499
743	1445	497
744	1447	495
745	1448	493
746	1450	491
747	1453	489
748	1455	487
749	1458	486
750	1460	484
751	1462	482
752	1465	480
753	1467	478
754	1469	476
755	1471	474
756	1474	473
757	1476	471
758	1478	469
759	1481	467
760	1483	465
761	1485	463
762	1487	462
763	1489	460
764	1491	458
765	1494	456
766	1496	454
767	1498	452
768	1500	450
769	1502	448
770	1505	447
771	1506	445
772	1509	443
773	1510	441
774	1512	439
775	1514	437
776	1516	435
777	1518	433
778	1520	431
779	1523	429
780	1525	427
781	1527	425
782	1529	423
783	1531	421
784	1534	420
785	1536	418
786	1538	416
787	1540	414
788	1542	412
789	1545	410
790	1548	409
791	1550	407
792	1551	405
793	1554	403
794	1556	401
795	1559	399
796	1561	397
797	1563	395
798	1565	393
799	1566	391
800	1569	389
801	1571	387
802	1573	385
803	1574	383
804	1576	381
805	1578	379
806	1580	377
807	1581	375
808	1583	373
809	1585	371
810	1587	370
811	1589	368
812	1591	366
813	1593	364
814	1594	362
815	1596	359
816	1598	358
817	1600	356
818	1602	354
819	1604	352
820	1606	350
821	1608	348
822	1610	346
823	1612	344
824	1614	342
825	1616	340
826	1618	338
827	1619	336
828	1621	334
829	1623	332
830	1624	330
831	1626	328
832	1629	326
833	1630	324
834	1632	322
835	1633	320
836	1634	318
837	1635	316
838	1637	314
839	1639	312
840	1640	310
841	1642	308
842	1643	306
843	1645	304
844	1647	302
845	1649	300
846	1651	298
847	1652	296
848	1654	294
849	1656	292
850	1659	290
851	1661	288
852	1663	286
853	1665	284
854	1667	282
855	1668	280
856	1670	278
857	1672	276
858	1673	274
859	1675	272
860	1676	270
861	1677	268
862	1679	266
863	1680	264
864	1681	262
865	1683	260
866	1684	258
867	1686	256
868	1687	254
869	1688	252
870	1689	250
871	1691	248
872	1692	246
873	1693	244
874	1694	242
875	1696	240
876	1697	238
877	1699	236
878	1700	234
879	1702	232
880	1704	230
881	1705	228
882	1706	226
883	1708	224
884	1709	222
885	1710	220
886	1712	218
887	1713	216
888	1714	214
889	1716	212
890	1717	210
891	1719	208
892	1720	206
893	1721	204
894	1722	202
895	1723	200
896	1724	198
897	1726	196
898	1727	194
899	1728	192
900	1730	190
901	1731	188
902	1732	186
903	1733	184
904	1734	182
905	1736	180
906	1737	178
907	1738	176
908	1740	174
909	1741	172
910	1742	170
911	1744	168
912	1746	166
913	1747	164
914	1749	162
915	1750	160
916	1752	158
917	1754	156
918	1755	154
919	1756	152
920	1757	150
921	1758	148
922	1760	146
923	1761	144
924	1763	142
925	1764	141
926	1765	139
927	1766	137
928	1767	135
929	1769	133
930	1770	131
931	1771	129
932	1772	127
933	1773	125
934	1775	123
935	1776	121
936	1778	119
937	1779	117
938	1780	115
939	1782	113
940	1784	111
941	1785	109
942	1786	108
943	1788	106
944	1790	104
945	1792	102
946	1794	100
947	1796	98
948	1797	96
949	1799	94
950	1801	92
951	1802	90
952	1804	89
953	1806	87
954	1808	85
955	1810	83
956	1812	81
957	1814	79
958	1816	77
959	1818	75
960	1820	73
961	1822	71
962	1824	70
963	1826	68
964	1827	66
965	1829	64
966	1831	62
967	1833	60
968	1835	58
969	1837	56
970	1839	54
971	1840	53
972	1842	51
973	1844	49
974	1846	47
975	1848	45
976	1850	43
977	1852	41
978	1854	39
979	1856	37
980	1858	35
981	1860	34
982	1862	32
983	1863	30
984	1865	28
985	1867	26
986	1869	24
987	1870	22
988	1872	20
989	1874	18
990	1876	17
991	1878	15
992	1880	13
993	1882	11
994	1884	9
995	1886	7
996	1888	5
997	1890	3
998	1892	1
999	1894	0
